,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
41,,,,0.48854365137525035,40000,1.0374706983566284,0.6360051388803012,0.5390557439072108,218.5991,665.863,41.62,,,,,
42,1.0367,4.7106242179870605,4.165791359291286e-05,0.5007572426596316,41000,,,,,,,,,,,
43,1.0229,4.593611240386963,4.145435373817317e-05,0.5129708339440129,42000,,,,,,,,,,,
44,1.0205,5.499566078186035,4.125099744328822e-05,0.5251844252283941,43000,,,,,,,,,,,
45,1.0243,5.35205078125,4.1047437588548535e-05,0.5373980165127754,44000,,,,,,,,,,,
46,1.0135,3.6842763423919678,4.084387773380885e-05,0.5496116077971567,45000,,,,,,,,,,,
47,1.0231,3.142498731613159,4.064031787906916e-05,0.5618251990815379,46000,,,,,,,,,,,
48,1.016,13.725899696350098,4.0436758024329474e-05,0.5740387903659192,47000,,,,,,,,,,,
49,1.0044,4.155844688415527,4.023360528929927e-05,0.5862523816503005,48000,,,,,,,,,,,
50,1.0171,3.8119864463806152,4.0030045434559585e-05,0.5984659729346817,49000,,,,,,,,,,,
51,1.0227,3.4835896492004395,3.9826689139674635e-05,0.610679564219063,50000,,,,,,,,,,,
52,1.0208,3.837472915649414,3.962312928493495e-05,0.6228931555034443,51000,,,,,,,,,,,
53,1.0015,4.269528388977051,3.941956943019526e-05,0.6351067467878255,52000,,,,,,,,,,,
